year,make,model,trim,cab_style,bed_length_label,platform_id,vin_decodable_trim,vin_decodable_bed,notes,source_urls
2019,Chevrolet,Silverado 1500,,Crew Cab,"70""",CHEV-S15-19P-CC-70,partial,partial,,data/sources/atc_2022-04.pdf
2020,Chevrolet,Silverado 1500,,Crew Cab,"70""",CHEV-S15-19P-CC-70,partial,partial,,data/sources/atc_2022-04.pdf
2021,Chevrolet,Silverado 1500,,Crew Cab,"70""",CHEV-S15-19P-CC-70,partial,partial,,data/sources/atc_2022-04.pdf
2022,Chevrolet,Silverado 1500,,Crew Cab,"70""",CHEV-S15-19P-CC-70,partial,partial,,data/sources/atc_2022-04.pdf
2023,Chevrolet,Silverado 1500,,Crew Cab,"70""",CHEV-S15-19P-CC-70,partial,partial,,data/sources/atc_2022-04.pdf
2024,Chevrolet,Silverado 1500,,Crew Cab,"70""",CHEV-S15-19P-CC-70,partial,partial,,data/sources/atc_2022-04.pdf
2025,Chevrolet,Silverado 1500,,Crew Cab,"70""",CHEV-S15-19P-CC-70,partial,partial,,data/sources/atc_2022-04.pdf
2019,Chevrolet,Silverado 1500,,,"79.5""",CHEV-S15-19P-795,partial,partial,,data/sources/atc_2022-04.pdf
2020,Chevrolet,Silverado 1500,,,"79.5""",CHEV-S15-19P-795,partial,partial,,data/sources/atc_2022-04.pdf
2021,Chevrolet,Silverado 1500,,,"79.5""",CHEV-S15-19P-795,partial,partial,,data/sources/atc_2022-04.pdf
2022,Chevrolet,Silverado 1500,,,"79.5""",CHEV-S15-19P-795,partial,partial,,data/sources/atc_2022-04.pdf
2023,Chevrolet,Silverado 1500,,,"79.5""",CHEV-S15-19P-795,partial,partial,,data/sources/atc_2022-04.pdf
2024,Chevrolet,Silverado 1500,,,"79.5""",CHEV-S15-19P-795,partial,partial,,data/sources/atc_2022-04.pdf
2025,Chevrolet,Silverado 1500,,,"79.5""",CHEV-S15-19P-795,partial,partial,,data/sources/atc_2022-04.pdf
2019,Chevrolet,Silverado 1500,,Regular Cab,"98""",CHEV-S15-19P-RC-98,partial,partial,,data/sources/atc_2022-04.pdf
2020,Chevrolet,Silverado 1500,,Regular Cab,"98""",CHEV-S15-19P-RC-98,partial,partial,,data/sources/atc_2022-04.pdf
2021,Chevrolet,Silverado 1500,,Regular Cab,"98""",CHEV-S15-19P-RC-98,partial,partial,,data/sources/atc_2022-04.pdf
2022,Chevrolet,Silverado 1500,,Regular Cab,"98""",CHEV-S15-19P-RC-98,partial,partial,,data/sources/atc_2022-04.pdf
2023,Chevrolet,Silverado 1500,,Regular Cab,"98""",CHEV-S15-19P-RC-98,partial,partial,,data/sources/atc_2022-04.pdf
2024,Chevrolet,Silverado 1500,,Regular Cab,"98""",CHEV-S15-19P-RC-98,partial,partial,,data/sources/atc_2022-04.pdf
2025,Chevrolet,Silverado 1500,,Regular Cab,"98""",CHEV-S15-19P-RC-98,partial,partial,,data/sources/atc_2022-04.pdf
2020,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-20P-82-MF,partial,partial,,data/sources/atc_2022-04.pdf
2021,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-20P-82-MF,partial,partial,,data/sources/atc_2022-04.pdf
2022,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-20P-82-MF,partial,partial,,data/sources/atc_2022-04.pdf
2023,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-20P-82-MF,partial,partial,,data/sources/atc_2022-04.pdf
2024,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-20P-82-MF,partial,partial,,data/sources/atc_2022-04.pdf
2025,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-20P-82-MF,partial,partial,,data/sources/atc_2022-04.pdf
